"db","X_id","X_rev","value","timestamp","study_id","uid"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000085_p000049_y2017","1-32ad8cac2a4a8b29e6e34c23da6ee3c2","T","2018-12-28T15:41:11.108Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000086_p000041_y2008","1-6801c47b9109c17a8935b221ebf742ec","T","2018-12-28T15:41:12.127Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000087_p000053_y2008","1-741415db7462aa976d61ce4d40febf84","T","2018-12-28T15:41:13.265Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000088_p000057_y2017","1-45288d16253554b035cc00db57cf63a9","T","2018-12-28T15:41:14.822Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000089_p000059_y2008","1-a318a907757ef681d7d01378ad5537c9","N","2018-12-28T15:41:16.231Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000090_p000044_y2017","1-eb33c84851c688639f8292779c8de013","N","2018-12-28T15:41:17.437Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000091_p000066_y2008","1-2b897c1df77a06d45a7b126a718ab6a6","T","2018-12-28T15:41:19.505Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000092_p000029_y2017","1-3fbd0fb2de3135b79b7a70887dbfe3c7","T","2018-12-28T15:41:21.441Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000093_p000073_y2008","1-61acd894361de14d07d6a8362dc62904","T","2018-12-28T15:41:23.260Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000094_p000042_y2008","1-c8412cde617a6b317742d260795cf047","T","2018-12-28T15:41:24.259Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000095_p000012_y2008","1-1a459287b3366ddd8a1e1870beb0346a","T","2018-12-28T15:41:25.335Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000096_p000086_y2008","1-f0febfa8676af9f645bcf7ef16b76efc","T","2018-12-28T15:41:27.533Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000097_p000027_y2017","1-d26ff2c94b9bf97302f926e3336d7203","T","2018-12-28T15:41:30.814Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000098_p000047_y2008","1-f9c7ecf13a034ba0d606c6881356313e","T","2018-12-28T15:41:31.783Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000099_p000032_y2008","1-9e05dcbec3e00e8d82612627c2d835ec","T","2018-12-28T15:41:32.953Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000100_p000083_y2008","1-2ba3192c875bd875f1b25bc59c0ba8f7","T","2018-12-28T15:41:34.354Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000101_p000066_y2017","1-c9ecea807b0f2b76f3254fd1050d39cb","T","2018-12-28T15:41:38.581Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000102_p000100_y2017","1-dfae8b277d948f148c0b0056e68a55c1","T","2018-12-28T15:41:39.889Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000103_p000089_y2017","1-ad21f0def046eca16ba0cad433fe5ee4","T","2018-12-28T15:41:42.721Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000104_p000094_y2008","1-81dd463beb3801bee0569af1a2504cd6","T","2018-12-28T15:41:50.046Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000105_p000034_y2017","1-fa122475347984fdbfce161af08af9b0","T","2018-12-28T15:41:54.924Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000106_p000091_y2017","1-41dc3aca75d1fcf41d02c229e3d2c534","T","2018-12-28T15:41:58.074Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000107_p000084_y2017","1-dbcd52100374f63cf161215f5dd1a9ad","T","2018-12-28T15:42:00.698Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000108_p000003_y2008","1-006759d582e873243dfa9f9f0d739164","N","2018-12-28T15:42:05.428Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000109_p000041_y2017","1-eac6556914658c1adf90f0a28c9cb37f","U","2018-12-28T15:42:07.270Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000110_p000056_y2008","1-cecfdec78f489012346f13545e1923ae","N","2018-12-28T15:42:08.990Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000111_p000077_y2017","1-5da5f3b6ce62b097272675c19d0f95f1","N","2018-12-28T15:42:10.073Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000112_p000024_y2008","1-dec4cd6ad69cd2204f2872c6afc246fa","T","2018-12-28T15:42:14.284Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000113_p000068_y2008","1-e012300428c0005daea976601d76fe04","T","2018-12-28T15:42:18.248Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000114_p000061_y2008","1-83437d5fdc31dfd47241ad6f296966d7","T","2018-12-28T15:42:23.512Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000115_p000095_y2008","1-6626a263651e8d3a0f24cc477e06b405","T","2018-12-28T15:42:25.757Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000116_p000060_y2008","1-570248f74c8d811359449bf400d7d382","T","2018-12-28T15:42:30.200Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000117_p000053_y2017","1-613f9a7a47446021f2dac549caee021f","T","2018-12-28T15:42:31.624Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000118_p000067_y2008","1-25ef3a1d5ffd99f01518a5d45947d72d","T","2018-12-28T15:42:35.340Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000119_p000019_y2008","1-64f2d871ef93b2b894e53636e1872b3b","N","2018-12-28T15:42:38.894Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000120_p000082_y2008","1-b3ea9f409cb0784fab05b5f51128b645","T","2018-12-28T15:42:45.335Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000121_p000014_y2008","1-742abac5718fbb63c143bcfd85c1c6fa","N","2018-12-28T15:42:51.679Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000122_p000051_y2008","1-1c65ed2f0646e0aa84fd063b9b258497","T","2018-12-28T15:42:55.803Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000123_p000094_y2017","1-534722a78b4b3ef7d1c7e5071adac2a9","T","2018-12-28T15:42:57.875Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000124_p000045_y2017","1-10edd72059b52131d1c4b9b48e905e5d","T","2018-12-28T15:43:00.136Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000125_p000001_y2017","1-005841141a7836e832f1ed6d2475ab4e","T","2018-12-28T15:43:02.010Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000126_p000098_y2008","1-2ad66cde082b5e51f2364da3e73fb133","N","2018-12-28T15:43:05.130Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000127_p000033_y2017","1-8169488776af92dba9bad6b118448fd7","T","2018-12-28T15:43:10.038Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000128_p000009_y2008","1-a3026916ca886e541d0f4c7d7bbd8fed","N","2018-12-28T15:43:13.737Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000129_p000061_y2017","1-b2f0a0a6b2441ad72ee8d06657afe5c0","T","2018-12-28T15:43:15.757Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000130_p000003_y2017","1-0e718c279679b98fd7c3feb1eb6efaea","N","2018-12-28T15:43:17.942Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000131_p000047_y2017","1-e34b3aab0778a82c1c21619e37c674e4","U","2018-12-28T15:43:19.955Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000132_p000043_y2008","1-6c5d513fde0c8170b1acecf695783bec","N","2018-12-28T15:43:21.714Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000133_p000046_y2017","1-4f37963162475bb7e711c53d1c9c7429","T","2018-12-28T15:43:23.439Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000134_p000069_y2017","1-db4a1e4626191947ab914eb2e35538f5","N","2018-12-28T15:43:25.698Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000135_p000005_y2008","1-92a5f6389a609268c055d206aef7a439","N","2018-12-28T15:43:29.570Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000136_p000084_y2008","1-19f17e34ec4d4e040a0ec7d5477d0dc0","T","2018-12-28T15:43:32.140Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000137_p000064_y2017","1-20113fdcfd5f1dd4e9c277d8552fbd5c","N","2018-12-28T15:43:34.138Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000138_p000058_y2008","1-03f1e49e030d342ee7228ff0905636da","T","2018-12-28T15:43:39.976Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000139_p000068_y2017","1-f53fc77a53a39ece3a85180280e170a5","T","2018-12-28T15:43:42.220Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000140_p000052_y2017","1-1e3d7e0b30bf0a0053f705cfbd9b9ac8","N","2018-12-28T15:43:44.062Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000141_p000050_y2008","1-5f01347120a84fb18c472d5f25a93569","T","2018-12-28T15:43:49.798Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000142_p000009_y2017","1-7465023d2cd52a180b16951515bf2ec7","N","2018-12-28T15:43:51.394Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000143_p000086_y2017","1-8dab146134c6f115e14ce0622ac57e11","T","2018-12-28T15:43:53.012Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000144_p000091_y2008","1-47ba9ad4ab4fdc634e995f2c26905031","T","2018-12-28T15:44:07.295Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000145_p000028_y2008","1-0bc248e2e8fa7afe781ed97832936aca","T","2018-12-28T15:44:08.300Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000146_p000005_y2017","1-bf4e824c14d844cde0d303fd8cf23cbd","N","2018-12-28T15:44:10.477Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000147_p000021_y2008","1-6b4ddd5c6f416f40a56bcf0d2c26e749","N","2018-12-28T15:44:12.275Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000148_p000099_y2008","1-92d7e5598757f6c8700c6463a3ff2983","N","2018-12-28T15:44:14.262Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000149_p000019_y2017","1-d6719f7cd2e055b623215cc036c15a0b","N","2018-12-28T15:44:17.474Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000150_p000037_y2008","1-432ed310993ae495aa560d0f549ecf37","T","2018-12-28T15:44:19.386Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000151_p000058_y2017","1-c7c69cc2c51dd467c705a60bb3f514e8","T","2018-12-28T15:44:21.152Z",NA,"A"
